268163	-24
27120	-65
268499	-45
258412	-45
81559	55
173852	-4
20554	-3
137900	56
183561	-48
237132	-16
113113	52
55183	22
168595	-47
147189	39
200011	-14
40581	55
30753	-22
70597	17
10117	-19
201425	29
37095	-132
94803	16
165277	-35
214403	42
297213	-4
17789	-10
240947	-28
275639	-48
17040	-10
250887	-37
169554	2
189231	14
193739	46
19497	-50
279167	49
248150	21
195300	-41
202426	53
69386	44
72669	69
52180	5
27029	19
227360	-63
180852	16
175476	-2
38999	7
58928	-6
125916	42
154707	-47
220549	-5
207256	-31
110873	53
25573	-31
47364	25
63940	-53
200774	35
108836	54
106148	-16
62778	9
148834	24
138985	-24
139706	-79
188748	40
162526	42
218155	32
222446	22
49702	-55
214564	-39
41939	-28
201236	-11
47539	-24
193452	-21
249207	21
257628	-76
25223	50
23025	-47
161833	53
191030	-48
30403	51
214256	-6
250733	-58
233842	49
244965	0
205667	20
99570	53
14562	-53
15710	-43
93998	-5
125020	42
154567	-42
244174	32
112406	0
56331	40
277620	-14
289548	58
130879	38
154721	36
158109	32
292173	-46
194873	-52
123480	-54
90218	8
208712	45
215761	40
35219	-61
61553	34
4422	25
29241	4
109116	18
160937	20
200459	15
22668	-49
176008	15
40763	-41
3050	32
35716	28
106456	-9
119896	-70
184065	-134
108661	88
148162	-44
280707	-5
292124	24
216195	1
21436	-20
196602	-37
197694	68
188034	18
267610	-5
246554	-26
243306	26
289289	15
108955	-18
204176	12
13778	-40
233772	40
131733	-36
243131	1
78829	19
96623	66
132314	-46
175854	37
255437	49
238791	39
186669	49
61483	-58
283948	49
166285	56
47623	11
123718	41
248976	-12
81524	40
252700	-4
288974	-42
225694	-26
45971	52
79529	102
240226	52
216986	-10
262927	-10
221333	57
142506	51
210959	23
206570	-38
294812	-39
73691	-35
83960	-21
66747	-11
160748	-68
272685	10
66754	-14
30263	85
192437	12
156828	5
243047	124
151865	-11
110817	-7
194082	69
226800	36
140308	18
95251	-44
214669	-25
228543	26
235312	55
22486	2
214074	-41
224567	-23
229229	-46
199892	-86
68707	-37
289128	-24
33686	-13
192871	-81
239099	-18
50829	1
106687	-49
238182	-75
235893	35
87432	-50
11615	56
26105	20
35800	-7
50423	20
119609	29
184009	62
